Movie Name,Storyline,Processed_Storyline
262. Sew Torn,"A seamstress gets tangled in her own thread after stealing a briefcase from a drug deal gone bad. In an escalating game of cat and mouse, her different choices lead to drastically different outcomes along the way.",seamstress get tangl thread steal briefcas drug deal gone bad escal game cat mous differ choic lead drastic differ outcom along way
263. The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village.",thcenturi widow make imposs choic especi cruel winter foreign ship sink coast iceland fish villag
264. Hard Truths,Ongoing exploration of the contemporary world with a tragicomic study of human strengths and weaknesses.,ongo explor contemporari world tragicom studi human strength weak
265. Bring Them Down,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland.",irish shepherd famili thrust battl sever front intern strife hostil within famili rivalri anoth farmer patern heritag gener trauma cycl cultur prism ireland
266. We Were Dangerous,"Nellie, Daisy and Lou attend an institution for delinquent girls on an isolated island in 1954. The trio rail against the system, finding strength in their friendship but this is challenged when the school's matron divides them.",nelli daisi lou attend institut delinqu girl isol island trio rail system find strength friendship challeng school matron divid
267. Uma Musume: Pretty Derby - Beginning of a New Era,"Uma Musume - they were born to run. Born with names from other worlds, sometimes with strange, sometimes with glorious histories, they inherit the souls of these names and run. Aiming only at the goal beyond our eyes.",uma musum born run born name world sometim strang sometim gloriou histori inherit soul name run aim goal beyond eye
268. Kalki 2898 AD,A pregnant woman comes under the protection of an immortal warrior while being tracked down by bounty hunters.,pregnant woman come protect immort warrior track bounti hunter
269. He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.,teenag investig mysteri murder small town discov collect vh tape could reveal ident notori serial killer
270. The Forge,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions.",graduat high school without plan futur isaiah receiv push start make better life decis
271. Wallace & Gromit: Vengeance Most Fowl,Top dog Gromit springs into action to save his master when Wallace's high-tech invention goes rogue and he is framed for a series of suspicious crimes.,top dog gromit spring action save master wallac hightech invent goe rogu frame seri suspici crime
272. Queen of the Ring,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates a peculiar American niche entertainment industry & becomes the first millionaire female athlete.",time pro wrestl women illeg unit state small town singl mother embrac danger domin peculiar american nich entertain industri becom first millionair femal athlet
273. Cloud,"Yoshii, a young man who resells goods online, finds himself at the center of a series of mysterious events that put his life at risk.",yoshii young man resel good onlin find center seri mysteri event put life risk
274. Suncoast,"While caring for her brother along with her audacious mother, a teenager strikes up a friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time.",care brother along audaci mother teenag strike friendship eccentr activist protest one landmark medic case time
275. Dear Santa,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays.",young boy mail christma wish list santa one crucial spell error devilish jack black arriv wreak havoc holiday
276. Dìdi,"In 2008, during the last month of summer before high school begins, an impressionable 13-year-old Taiwanese American boy learns what his family can't teach him: how to skate, how to flirt, and how to love your mom.",last month summer high school begin impression yearold taiwanes american boy learn famili cant teach skate flirt love mom
277. Harvest,"Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears.",seven hallucinatori day villag name undefin time place disappear
278. The End,"In a luxurious bunker, a family maintains their pre-apocalyptic routines 25 years after Earth's ecological disaster made the surface uninhabitable.",luxuri bunker famili maintain preapocalypt routin year earth ecolog disast made surfac uninhabit
279. Blade of Fury,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back.",knife catcher pei xing origin exchang life money bounti hunter wit kill peopl stood justic gradual awaken decid fight back
280. Trigger Warning,"A special forces commando returns to her hometown after her father's sudden death, only to run afoul of a violent gang when she starts asking questions.",special forc commando return hometown father sudden death run afoul violent gang start ask question
281. Lucky Baskhar,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,cashstrap cashier work bank embark riski invest scheme soon get drawn murki world money launder
282. 18×2 Beyond Youthful Days,"Jimmy grows close to Ami, a Japanese backpacker, during one summer, then she leaves suddenly. Years later, a postcard draws him to Japan to face his first love and reflect on who he has become.",jimmi grow close ami japanes backpack one summer leav suddenli year later postcard draw japan face first love reflect becom
283. Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four days together over the course of a year that will change their lives forever.",remi barn two differ teenag meet chanc winter senior year spend four day togeth cours year chang live forev
284. Apocalypse Z: The Beginning of the End,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions.",manel shelter rabieslik diseas sweep planet forc leav meet unlik essenti travel companion
285. Kishkindha Kaandam,"Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances.",strang event unfold monkeyinhabit villag prompt newlyw pair forest offici embark mission uncov root caus peculiar disturb
286. Spellbound,"Ellian is a tenacious princess who must go on a daring quest to save her family and kingdom after a mysterious spell transforms her parents, the King and Queen of Lumbria, into monsters.",ellian tenaci princess must go dare quest save famili kingdom mysteri spell transform parent king queen lumbria monster
287. Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining.",year left live yearold akito find new mean life bring joy termin ill girl six month remain
288. Drive Back,A couple returning from their engagement party must escape a sinister and seemingly endless road.,coupl return engag parti must escap sinist seemingli endless road
289. Reagan,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office.",drama base life ronald reagan childhood time oval offic
290. Kali,"Lisa, aka Kali, who has nothing left to lose when she finds out her husband has been executed in Rio to cover up a corruption scandal. A former Special Forces recruit, she heads to Brazil with fists, blood and explosives, to Know the truth",lisa aka kali noth left lose find husband execut rio cover corrupt scandal former special forc recruit head brazil fist blood explos know truth
291. Joy,"3 trailblazers: a young nurse, a visionary scientist and an innovative surgeon face opposition from the church, state, media, and medical establishment in their pursuit of the world's first 'test tube baby,' Louise Joy Brown.",trailblaz young nurs visionari scientist innov surgeon face opposit church state media medic establish pursuit world first test tube babi louis joy brown
292. Pushpa: The Rule - Part 2,"As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",smuggl empir grow brazen pushpa long power respect veng journey face old rival new
293. Intercepted,Destruction in Ukraine war shown through lengthy tableaux. Soldiers' phone calls to families reveal parallel world. Sound and image confront one another.,destruct ukrain war shown lengthi tableaux soldier phone call famili reveal parallel world sound imag confront one anoth
294. A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy.",american social psychologist ben monro investig local cult connect disturb event daughter becom embroil mysteri local boy
295. Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",boy activ imagin face fear unforgett journey night new friend giant smile creatur name dark
296. Players,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment.",sport writer unus relationship fall fling lead reconsid play field favor commit
297. Armand,"Armand, a 6-year-old boy, is accused of crossing boundaries against his best friend at elementary school.",armand yearold boy accus cross boundari best friend elementari school
298. The Platform 2,"A thrilling physical journey that allows an approach to the darkness, where it is scary to look. It appeals to the viewer's civil responsibility and forces them to face the limits of their own solidarity.",thrill physic journey allow approach dark scari look appeal viewer civil respons forc face limit solidar
299. The Fix,"In a future with toxic air, a model takes a drug causing a transformation. She tries reversing it but learns her mutations could save humanity.",futur toxic air model take drug caus transform tri revers learn mutat could save human
300. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,"A writer in a creative crisis befriends a retired serial killer, who becomes his marriage therapist and consultant for a new book. But his wife begins to suspect she might be a target.",writer creativ crisi befriend retir serial killer becom marriag therapist consult new book wife begin suspect might target
